"name","description","category","price","seller","url1","url2","url3","url4"
"Sweetheart Tibbers Plush","Have you met Sweetheart Tibbers?","plush","30","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt088afeef8877c547/5f5941dbd8afba57ab627fd7/2018-09-07_2000_18_04.607_pink-tibbers-plush-small-f_copy.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltef7e5f865a615eee/5f5941dd530805658edde775/2018-09-07_2000_18_05.431_pink-tibbers-plush-small-l_copy.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blte964d5a5dbb7ac0a/5f5941dd3e2c44542b38d945/2018-09-07_2000_18_06.242_pink-tibbers-plush-small-r_copy.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt6bfe831364250827/5f5941dd2c2f050620c50a44/2018-09-07_2000_18_06.955_pink-tibbers-plush-small-b_copy.png"
"Elder Dragon Plush","The ruler of skies flies in as the softest dragon in Runeterra.","plush","27.5","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt3b22a2a21579bc3a/5fb46dd546f622769b5ef012/Dragon_00.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt1d20fa9f609f04ca/5fb46de442256d5ffdf440e4/Dragon_01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt18a2111800641858/5fb46dde72a3526f28dbcbfa/Dragon_02.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt18a2111800641858/5fb46dde72a3526f28dbcbfa/Dragon_02.png"
"Moo Cow Alistar Plush","Alistar, the Minotaur is ready to lock horns in the softest of cuddles.","plush","30","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt872f825ff2c87afd/60639fde573d281045d35d6f/alistar_plush_00.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt01ab754ae5d25053/60639fe29a1d7d1050bd387b/alistar_plush_01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltf28c5971bb405780/60639fe4f7a7c1102cea206f/alistar_plush_02.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt0c35aee83427f17a/60639fe69a1d7d1050bd387f/alistar_plush_03.png"
"Gnar Plush
","Gnar is the soft sidekick you've always wanted - so long as you treat him right (seriously, we heard he's got a little temper).","plush","30","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt88d175904d1a6a83/5f5940112e429507af9bef84/2018-09-07_2000_07_15.571_image_50.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt813b9928bc1233c7/5f5940126425fd644a75f9dd/2018-09-07_2000_07_16.596_image_51.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltc99115f7b3127899/5f5940120f04ce2f71e4dc12/2018-09-07_2000_07_17.390_image_52.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt990ced63724fffb3/5f594014fa91f32fa9f6994e/2018-09-07_2000_07_19.001_image_54.png"
"Featherknight Plush","The legendary Featherknight enters the fray, leading the rest of the Pengu into battle.","plush","27.5","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltc5fa5ebeddf6a9c4/5fb46e0b24612d7400da63a2/Featherknight_00.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltd7ab5a0e6b469649/5fb46e1109ed4c6f277eddae/Featherknight_01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt2ba28aa8d76ce36e/5fb46e1b65bdd35303e032bf/Featherknight_02.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltc293149756a55d5e/5fb46e1572a3526f28dbcbfe/Featherknight_03.png"
"Willump Plush","A mythical yeti - Willump is here to carry you and Nunu to the most awesome of adventures that only best friends can have.","plush","27.5","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt2e8f4ac7b3109397/5fc57cb072a3526f28dc0557/Willump_00.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt5bc2155cf485fb5a/5fc57cc542256d5ffdf47b09/Willump_01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltc3de32d174a210e8/5fc57cba72a3526f28dc055b/Willump_02.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt8d53cefbfd186d6a/5fc57cc7fd99385ff6009fb2/Willump_03.png"
"K/DA ALL OUT Tibbers Plush","K/DA's #1 stan.","plush","35","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blte1d6fed16e32fa51/5f99b6a16c73a0751fc79ce4/Tibbers_06.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltfc5409b05821465d/5f99b67e89353a72dcaeb980/Tibbers_00.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt8c7d3f18023038e5/5f90a6d71f5f6d4173b52599/Tibbers_01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt8ee673b1399fc444/5f90a6dcace59e4b82919e60/Tibbers_02.png"
"Beemo Plush","It was a beeautiful day. Singing birds, fragrant flowers, and honeyed explosions filled the air.\nChuckling a particularly large bee turned toward his woodland friend, Turtle.","plush","30","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt41659d4e76440acc/5f594339ed0fba061fe831e9/07-15-2019_2017_38_18_306_Riot-Games_Beemo1.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blte195c6377d92b6e1/5f59433903448774bcc0ba17/07-15-2019_2017_38_18_320_Riot-Games_Beemo3.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt064457f1f3625a9d/5f59433aea62915a2f88820c/07-15-2019_2017_38_18_323_Riot-Games_Beemo4.png",""
"Rengar Collectible Plush","The Pridestalker is ready to pounce into your arms! Rengar is #05 in the Collectible Plush line.","plush","20","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt88214ade63c1e58e/5f586c4304fddc0f9d851448/2018-09-07_2000_14_54.928_rengar-1078-copy.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltdbb232dcb4770e40/5f586c4249fc334adf6eeeb1/2018-09-07_2000_14_54.266_rengar-1076-copy.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt4f7eafce1b12306d/5f586c43369aad68ddb4f502/2018-09-07_2000_14_56.346_rengar-1085-copy.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt7622e7ba5ec6b014/5f586c44d118c94ffb8906c3/2018-09-07_2000_14_57.141_rengar-1086-copy.png"
"Frostfire Tibbers XL Plush","Extra bear for extra warmth. Frostfire Tibbers XL Plush has been summoned to keep you warm with his long fur.","plush","125","League Plush Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltff15c2f5dd024fba/5f59443a8f116b2d10380933/12-09-2019201625353_snow_tibbers_1000x1000_a.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt8403f2f513656ac0/5f594439032d9f5b69652ab7/12-09-2019201625360_snow_tibbers_1000x1000_c.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt6eaf40d7fa61398e/5f59443a08b63f2fb0c9d261/12-09-2019201628789_snow_tibbers_1000x1000_b.png",""
"Warring Kingdoms Jarvan IV Figure","""By my will, this shall be finished.” \nWarring Kingdoms Jarvan IV brings a cataclysm to the Series 4 line as Special Edition #04 to celebrate the Lunar New Year.","figures","30","League Figure Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt135c1beed7905c65/601dc28ef13a6d4c0c256f62/Jarvan_Main_portraits.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt042fde661bea9e5a/601dc2984b8030688c37be66/Jarvan_figure_2560x2560_03.jpg","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltf47fafa45bc35cfe/601dc293db520b688d8273a5/Jarvan_figure_2560x2560_01.jpg","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt14adc31c03a27a46/6039982d2eee966ee2e3d50c/Jarvan_figure_2560x2560_05.png"
